entry_time,exit_time,direction,entry_price,exit_price,pnl_pct,bars_held,exit_reason,max_favorable_pct,max_adverse_pct
2025-01-13 09:15:00+05:30,2025-01-13 10:15:00+05:30,SHORT,48500.75,48773.7,-0.5627748024515025,4,4_bars,0.3108199357741891,0.5627748024515025
2025-01-15 13:15:00+05:30,2025-01-15 14:15:00+05:30,SHORT,48814.51666666666,48762.4,0.10676468850965713,4,4_bars,0.2883705018076852,0.0
2025-01-16 09:15:00+05:30,2025-01-16 10:15:00+05:30,LONG,49362.96666666667,49453.6,0.1836059286009918,4,4_bars,0.1836059286009918,0.0
2025-01-17 09:30:00+05:30,2025-01-17 10:30:00+05:30,SHORT,48809.56666666667,48625.1,0.3779313754749057,4,4_bars,0.3779313754749057,0.03356582418608671
2025-01-20 09:15:00+05:30,2025-01-20 10:15:00+05:30,LONG,48909.56666666667,49188.0,0.5692819468856338,4,4_bars,0.5692819468856338,0.0
2025-01-20 11:15:00+05:30,2025-01-20 12:15:00+05:30,LONG,49361.56666666667,49500.05,0.28054890208103184,4,4_bars,0.28054890208103184,0.0
2025-01-20 13:00:00+05:30,2025-01-20 14:00:00+05:30,LONG,49651.333333333336,49645.0,-0.01275561582771008,4,4_bars,0.06256965237589933,0.022825838849582607
2025-01-21 09:30:00+05:30,2025-01-21 10:30:00+05:30,SHORT,49323.23333333334,48980.0,0.6958857117369377,4,4_bars,0.858081080113031,0.0
2025-01-21 11:45:00+05:30,2025-01-21 12:45:00+05:30,SHORT,49177.06666666667,48962.3,0.4367211816890326,4,4_bars,0.7464183847213463,0.0
2025-01-21 14:30:00+05:30,2025-01-22 09:15:00+05:30,SHORT,48721.25,48737.75,-0.033866126176976166,4,4_bars,0.1227390512353499,0.11832619236986214
2025-01-22 12:15:00+05:30,2025-01-22 13:15:00+05:30,SHORT,48352.28333333333,48288.0,0.13294787526407648,4,4_bars,0.13294787526407648,0.08834467314022154
2025-01-24 14:00:00+05:30,2025-01-24 15:00:00+05:30,SHORT,48474.583333333336,48362.75,0.23070509459425112,4,4_bars,0.3806805972201917,0.0
2025-01-27 10:15:00+05:30,2025-01-27 11:15:00+05:30,SHORT,48001.28333333333,48184.8,-0.382316167241369,4,4_bars,0.0,0.382316167241369
2025-01-28 11:45:00+05:30,2025-01-28 12:45:00+05:30,LONG,48987.38333333333,49127.0,0.28500535682147127,4,4_bars,0.28500535682147127,0.0
2025-01-30 10:00:00+05:30,2025-01-30 11:00:00+05:30,LONG,49206.28333333333,49200.05,-0.012667758893928393,4,4_bars,0.19045670657914043,0.1132646677575322
2025-01-31 09:15:00+05:30,2025-01-31 10:15:00+05:30,LONG,49536.65,49545.0,0.016856206465311125,4,4_bars,0.016856206465311125,0.20651376304211713
2025-01-31 12:30:00+05:30,2025-01-31 13:30:00+05:30,LONG,49817.716666666674,49856.5,0.07785048357962124,4,4_bars,0.28249655494043985,0.0
2025-02-01 11:00:00+05:30,2025-02-01 12:00:00+05:30,LONG,50043.06666666667,49510.0,-1.0652158274339827,4,4_bars,0.2976103249734103,1.0652158274339827
2025-02-03 09:15:00+05:30,2025-02-03 10:15:00+05:30,SHORT,49386.63333333333,49485.75,-0.20069532984296415,4,4_bars,0.13532676520434034,0.20069532984296415
2025-02-04 09:15:00+05:30,2025-02-04 10:15:00+05:30,LONG,49813.21666666667,50050.0,0.47534238737844914,4,4_bars,0.6463813318620526,0.0
2025-02-04 13:00:00+05:30,2025-02-04 14:00:00+05:30,LONG,50189.200000000004,50120.15,-0.13757939955210066,4,4_bars,0.03138125333735688,0.13757939955210066
2025-02-05 09:15:00+05:30,2025-02-05 10:15:00+05:30,LONG,50497.01666666666,50570.0,0.14452999038557834,4,4_bars,0.25384337886627817,0.0
2025-02-06 11:15:00+05:30,2025-02-06 12:15:00+05:30,SHORT,50408.01666666666,50489.0,-0.1606556629054781,4,4_bars,0.0,0.18247758871688177
2025-02-06 14:30:00+05:30,2025-02-07 09:15:00+05:30,LONG,50598.833333333336,50600.0,0.0023057185112915803,4,4_bars,0.06950094369764304,0.01745758301410591
2025-02-07 13:45:00+05:30,2025-02-07 14:45:00+05:30,SHORT,50251.25,50239.5,0.023382502922812867,4,4_bars,0.23531752941469117,0.0
2025-02-10 09:30:00+05:30,2025-02-10 10:30:00+05:30,SHORT,50198.65,50009.9,0.3760061276548274,4,4_bars,0.43158531155718616,0.0
2025-02-10 14:45:00+05:30,2025-02-11 09:30:00+05:30,LONG,50224.200000000004,49934.9,-0.5760171391480658,4,4_bars,0.031458938121454665,0.5760171391480658
2025-02-11 12:45:00+05:30,2025-02-11 13:45:00+05:30,SHORT,49736.76666666666,49573.6,0.3280604623139239,4,4_bars,0.37601291599841863,0.0
2025-02-12 09:15:00+05:30,2025-02-12 10:15:00+05:30,SHORT,49509.26666666666,49154.0,0.7175761035981065,4,4_bars,0.940160697189334,0.0
2025-02-12 11:45:00+05:30,2025-02-12 12:45:00+05:30,LONG,49580.6,49799.95,0.4424109429897955,4,4_bars,0.4424109429897955,0.013311658188885462
