time,open,high,low,close,Kernel Regression Estimate,Buy,Sell,StopBuy,StopSell,🚫
1741148100,48721,48879.95,48712.15,48780.1,48532.69042124584,NaN,NaN,NaN,NaN,0
1741149000,48792.55,48829.95,48700.1,48710.6,48553.886260386855,NaN,NaN,NaN,NaN,0
1741149900,48722.3,48724,48599.05,48677,48570.850162138275,NaN,NaN,NaN,NaN,0
1741150800,48676.35,48749,48662.35,48693.55,48588.08142913618,NaN,NaN,NaN,NaN,0
1741151700,48695.75,48709.35,48650,48675,48601.942960759065,NaN,NaN,NaN,NaN,0
1741152600,48670,48710.05,48625.4,48672.45,48614.08091734901,NaN,NaN,NaN,NaN,0
1741153500,48670.15,48712.35,48660,48701,48627.24303477607,NaN,NaN,NaN,NaN,0
1741154400,48701,48811.9,48685.8,48778.1,48645.92881992963,NaN,NaN,NaN,NaN,0
1741155300,48789,48810,48764,48790.6,48664.26508978401,NaN,NaN,NaN,NaN,0
1741156200,48789.5,48810,48772,48797.2,48681.757597538526,NaN,NaN,NaN,NaN,0
1741157100,48787.35,48807.45,48757.05,48773.1,48695.46651184281,NaN,NaN,NaN,NaN,0
1741158000,48773.05,48808,48736.65,48736.65,48704.39489478562,NaN,NaN,NaN,NaN,0
1741158900,48746.2,48753.45,48673.05,48700,48708.44219267519,NaN,NaN,NaN,NaN,0
1741159800,48704,48731.35,48628.2,48690.15,48710.32769325065,NaN,NaN,NaN,NaN,0
1741160700,48700,48721.15,48651.1,48662.9,48708.690701855914,NaN,NaN,NaN,NaN,0
1741161600,48661,48675,48577.1,48615.05,48701.81388825184,NaN,NaN,NaN,NaN,0
1741162500,48604.05,48687,48601.45,48669.05,48699.309850543,NaN,NaN,NaN,NaN,0
1741163400,48669.2,48674.8,48631.15,48655.95,48695.29983919276,NaN,NaN,NaN,NaN,0
1741164300,48656,48673,48595,48673,48692.65684930009,NaN,NaN,NaN,NaN,0
1741165200,48673,48736.9,48640.2,48726.95,48694.91167574963,NaN,NaN,NaN,NaN,0
1741166100,48726,48745.65,48688.85,48736.85,48698.22520630208,NaN,NaN,NaN,NaN,0
1741167000,48737.4,48757.65,48702.1,48713.55,48699.602675404,NaN,NaN,NaN,NaN,0
1741167900,48716.1,48729.95,48677.05,48729.95,48702.56389679472,NaN,NaN,NaN,NaN,0
1741168800,48730,48730,48730,48730,48705.465794774005,NaN,NaN,NaN,NaN,0
1741232700,48894.7,49099.9,48750.5,48760.2,48710.999505895365,NaN,NaN,NaN,NaN,0
1741233600,48768.5,48794.9,48644.6,48691.9,48709.96567621307,NaN,NaN,NaN,NaN,0
1741234500,48699.65,48725,48526,48670,48706.81184220166,NaN,NaN,NaN,NaN,0
1741235400,48660,48760,48629,48719.7,48708.05906448949,NaN,NaN,NaN,NaN,0
1741236300,48720,48775,48688.7,48772,48714.12711972837,NaN,NaN,NaN,NaN,0
1741237200,48772.05,48801,48719.1,48774.6,48720.3613349392,NaN,NaN,NaN,NaN,0
1741238100,48774.7,48784.45,48701,48703.4,48719.87636246619,NaN,NaN,NaN,NaN,0
1741239000,48700.95,48861.15,48688,48819,48729.72831492867,NaN,NaN,NaN,NaN,0
1741239900,48822.7,48826.05,48640.95,48675,48726.17614823273,NaN,NaN,NaN,NaN,0
1741240800,48667.7,48725,48641.9,48715.4,48725.979681261124,NaN,NaN,NaN,NaN,0
1741241700,48720.2,48780,48720,48740.05,48727.71978652732,NaN,NaN,NaN,NaN,0
1741242600,48740.05,48788.85,48720,48735,48728.81553348949,NaN,NaN,NaN,NaN,0
