datetime,expected_direction,open,high,low,close,volume,ml_prediction,ml_signal,ml_signal_type,entry_triggered,kernel_current,kernel_previous,kernel_change,kernel_bullish,kernel_bearish,vol_filter_pass,reg_filter_pass,combined_filter_pass,blocked_by
2025-08-12 10:30,SHORT,55480.0,55510.0,55371.2,55445.0,69020,1.0,1,LONG,NONE,55520.38796012741,55524.30618408014,-3.918223952729022,False,True,True,True,True,Kernel_not_bull
2025-08-21 13:30,SHORT,55930.6,55942.0,55853.0,55895.2,36680,1.0,1,LONG,NONE,55959.32464248254,55965.79261921142,-6.467976728876238,False,True,True,True,True,Kernel_not_bull
2025-08-22 09:15,SHORT,55799.6,55821.6,55648.0,55648.6,125195,-1.0,-1,SHORT,NONE,55918.66654331533,55946.96727244561,-28.30072913027834,False,True,True,True,True,Re-entry_or_other
2025-08-26 14:15,SHORT,54563.8,54606.0,54525.0,54596.2,65170,-1.0,-1,SHORT,NONE,54678.61578767774,54690.301228308825,-11.685440631081292,False,True,True,False,False,Reg_filter
2025-08-29 09:15,LONG,54284.0,54390.0,54156.6,54308.4,112840,-3.0,-1,SHORT,NONE,54027.56560713547,54008.499688148746,19.065918986721954,True,False,True,True,True,Kernel_not_bear
2025-09-02 10:00,LONG,54434.0,54500.0,54411.6,54427.6,69930,5.0,1,LONG,NONE,54335.19023364231,54322.51420425652,12.676029385787842,True,False,True,False,False,Reg_filter
2025-09-05 12:30,SHORT,54071.0,54090.0,53983.8,54036.0,27160,1.0,1,LONG,NONE,54158.606897392354,54176.51045554067,-17.903558148318552,False,True,True,True,True,Kernel_not_bull
2025-09-15 09:15,LONG,55070.0,55134.2,55021.2,55117.0,78085,-1.0,-1,SHORT,NONE,55018.18958208836,55007.58906501881,10.600517069549824,True,False,True,True,True,Kernel_not_bear
2025-09-17 12:30,LONG,55578.2,55630.0,55578.2,55585.4,52465,5.0,1,LONG,NONE,55515.94994309761,55504.52835128018,11.421591817423177,True,False,True,False,False,Reg_filter
2025-09-29 09:30,LONG,54590.8,54700.0,54574.4,54693.4,63665,-1.0,-1,SHORT,NONE,54566.619380428725,54559.05665422634,7.5627262023845105,True,False,True,True,True,Kernel_not_bear
2025-09-30 09:15,LONG,54700.0,54825.0,54630.4,54698.8,97300,-1.0,-1,SHORT,NONE,54579.537099426794,54565.82325741063,13.713842016164563,True,False,True,True,True,Kernel_not_bear
2025-10-06 09:15,LONG,55951.2,56133.4,55916.2,56033.4,164290,3.0,1,LONG,NONE,55838.85951709781,55817.22099272702,21.63852437078458,True,False,True,True,True,Re-entry_or_other
2025-10-07 13:45,LONG,56656.0,56682.0,56614.6,56626.8,31395,1.0,1,LONG,NONE,56547.72241403639,56535.29106144217,12.431352594219788,True,False,True,False,False,Reg_filter
2025-10-08 13:00,LONG,56330.0,56380.0,56270.0,56344.4,38325,-1.0,-1,SHORT,NONE,56244.43815916673,56240.215451390286,4.222707776447351,True,False,True,True,True,Kernel_not_bear
2025-10-09 11:00,LONG,56305.0,56409.8,56304.4,56405.2,64890,-1.0,-1,SHORT,NONE,56260.94924924876,56247.589372597344,13.359876651418745,True,False,True,True,True,Kernel_not_bear
2025-10-13 09:15,SHORT,56578.0,56782.0,56578.0,56657.0,117880,-1.0,-1,SHORT,NONE,56892.31311515049,56914.66358685003,-22.350471699537593,False,True,True,True,True,Re-entry_or_other
2025-10-16 09:15,LONG,57250.0,57285.4,57130.2,57245.0,189945,-1.0,-1,SHORT,NONE,57029.90946173566,57008.49861682161,21.41084491404763,True,False,True,True,True,Kernel_not_bear
2025-10-20 09:15,LONG,57835.0,58250.0,57835.0,58078.8,183505,1.0,1,LONG,NONE,57726.114718594414,57690.40198866356,35.71272993085586,True,False,True,True,True,Re-entry_or_other
2025-10-23 09:15,LONG,58305.2,58320.0,58123.0,58319.0,187880,1.0,1,LONG,LONG,58088.027239816976,58068.505669782346,19.521570034630713,True,False,True,True,True,NOT_BLOCKED
2025-10-29 09:15,LONG,58620.0,58656.0,58520.0,58625.0,100800,3.0,1,LONG,NONE,58132.56828819429,58080.21692338838,52.351364805908815,True,False,True,True,True,Re-entry_or_other
