timestamp,tv_direction,py_direction,_merge
2025-05-23 09:30:00+05:30,1,,left_only
2025-05-27 09:15:00+05:30,-1,,left_only
2025-05-27 14:15:00+05:30,-1,,left_only
2025-05-29 09:15:00+05:30,1,,left_only
2025-06-03 09:15:00+05:30,1,,left_only
2025-06-04 09:30:00+05:30,-1,,left_only
2025-06-04 14:45:00+05:30,1,,left_only
2025-06-06 09:30:00+05:30,-1,,left_only
2025-06-10 09:15:00+05:30,-1,,left_only
2025-06-11 13:15:00+05:30,-1,,left_only
2025-06-12 13:30:00+05:30,-1,,left_only
2025-06-13 09:15:00+05:30,-1,,left_only
2025-06-16 11:00:00+05:30,1,,left_only
2025-06-18 11:30:00+05:30,-1,,left_only
2025-06-19 09:30:00+05:30,1,,left_only
2025-06-20 09:30:00+05:30,1,,left_only
2025-06-24 13:15:00+05:30,-1,,left_only
2025-06-26 12:00:00+05:30,1,,left_only
2025-06-26 14:30:00+05:30,1,,left_only
2025-07-03 09:45:00+05:30,1,,left_only
2025-07-04 14:00:00+05:30,1,,left_only
2025-07-07 11:00:00+05:30,1,,left_only
2025-07-08 09:15:00+05:30,1,,left_only
2025-07-11 09:15:00+05:30,-1,,left_only
2025-07-17 09:30:00+05:30,-1,,left_only
2025-07-18 11:00:00+05:30,-1,,left_only
2025-07-21 09:45:00+05:30,1,,left_only
2025-07-23 14:45:00+05:30,1,,left_only
2025-07-24 09:45:00+05:30,-1,,left_only
2025-07-24 13:45:00+05:30,1,,left_only
2025-07-25 10:15:00+05:30,-1,,left_only
2025-07-25 12:30:00+05:30,-1,,left_only
2025-07-28 10:15:00+05:30,1,,left_only
2025-07-29 09:15:00+05:30,-1,,left_only
2025-07-29 13:30:00+05:30,1,,left_only
2025-08-06 13:30:00+05:30,1,,left_only
2025-08-07 09:15:00+05:30,-1,,left_only
2025-08-11 14:30:00+05:30,1,,left_only
2025-08-12 10:30:00+05:30,-1,,left_only
2025-08-12 14:15:00+05:30,-1,,left_only
2025-08-21 13:30:00+05:30,-1,,left_only
2025-08-22 09:15:00+05:30,-1,,left_only
2025-08-25 10:15:00+05:30,-1,,left_only
2025-08-26 14:15:00+05:30,-1,,left_only
2025-08-29 09:15:00+05:30,1,,left_only
2025-09-02 10:00:00+05:30,1,,left_only
2025-09-04 09:45:00+05:30,1,,left_only
2025-09-05 12:30:00+05:30,-1,,left_only
2025-09-15 09:15:00+05:30,1,,left_only
2025-09-17 12:30:00+05:30,1,,left_only
2025-09-22 09:45:00+05:30,1,,left_only
2025-09-22 14:15:00+05:30,-1,,left_only
2025-09-24 09:15:00+05:30,-1,,left_only
2025-09-29 09:30:00+05:30,1,,left_only
2025-09-29 11:30:00+05:30,-1,,left_only
2025-09-30 09:15:00+05:30,1,,left_only
2025-10-06 09:15:00+05:30,1,,left_only
2025-10-07 13:45:00+05:30,1,,left_only
2025-10-08 13:00:00+05:30,1,,left_only
2025-10-09 11:00:00+05:30,1,,left_only
2025-10-10 09:15:00+05:30,1,,left_only
2025-10-13 09:15:00+05:30,-1,,left_only
2025-10-15 10:15:00+05:30,1,,left_only
2025-10-17 10:30:00+05:30,1,,left_only
2025-10-17 12:45:00+05:30,-1,,left_only
2025-10-20 09:15:00+05:30,1,,left_only
2025-10-21 14:30:00+05:30,-1,,left_only
2025-10-23 09:15:00+05:30,1,,left_only
2025-10-23 13:45:00+05:30,-1,,left_only
2025-10-24 10:15:00+05:30,-1,,left_only
2025-10-29 09:15:00+05:30,1,,left_only
2025-11-03 09:45:00+05:30,1,,left_only
2025-11-06 09:30:00+05:30,-1,,left_only
