time,direction,price
2025-06-02 09:15:00+05:30,SHORT,55785.4
2025-06-02 12:30:00+05:30,LONG,56098.2
2025-06-03 09:15:00+05:30,LONG,56118.0
2025-06-04 14:45:00+05:30,LONG,56030.4
2025-06-06 09:30:00+05:30,SHORT,55858.6
2025-06-13 09:15:00+05:30,SHORT,55685.0
2025-06-16 11:00:00+05:30,LONG,55895.6
2025-06-18 11:30:00+05:30,SHORT,55840.0
2025-06-20 09:30:00+05:30,LONG,55833.0
2025-07-08 09:15:00+05:30,LONG,57299.0
2025-07-11 09:15:00+05:30,SHORT,57208.6
2025-07-18 11:00:00+05:30,SHORT,56457.0
2025-07-21 09:45:00+05:30,LONG,56744.8
2025-07-23 14:45:00+05:30,LONG,57235.0
2025-07-24 09:45:00+05:30,SHORT,57106.2
2025-07-28 10:15:00+05:30,LONG,56650.0
2025-07-29 09:15:00+05:30,SHORT,56157.6
2025-08-06 13:30:00+05:30,LONG,55701.0
2025-08-07 14:15:00+05:30,LONG,55435.0
2025-08-11 14:30:00+05:30,LONG,55510.0
2025-08-12 10:30:00+05:30,SHORT,55445.0
2025-08-21 13:30:00+05:30,SHORT,55895.2
2025-08-22 09:15:00+05:30,SHORT,55648.6
2025-08-26 14:15:00+05:30,SHORT,54596.2
2025-08-29 09:15:00+05:30,LONG,54308.4
2025-09-02 10:00:00+05:30,LONG,54427.6
2025-09-05 12:30:00+05:30,SHORT,54036.0
2025-09-15 09:15:00+05:30,LONG,55117.0
2025-09-17 12:30:00+05:30,LONG,55585.4
2025-09-29 09:30:00+05:30,LONG,54693.4
2025-09-30 09:15:00+05:30,LONG,54698.8
2025-10-06 09:15:00+05:30,LONG,56033.4
2025-10-07 13:45:00+05:30,LONG,56626.8
2025-10-08 13:00:00+05:30,LONG,56344.4
2025-10-09 11:00:00+05:30,LONG,56405.2
2025-10-13 09:15:00+05:30,SHORT,56657.0
2025-10-16 09:15:00+05:30,LONG,57245.0
2025-10-20 09:15:00+05:30,LONG,58078.8
2025-10-23 09:15:00+05:30,LONG,58319.0
2025-10-29 09:15:00+05:30,LONG,58625.0
