timestamp,py_direction,tv_direction,_merge
2025-03-18 09:15:00+05:30,1,,left_only
2025-03-18 14:45:00+05:30,1,,left_only
2025-03-19 10:15:00+05:30,1,,left_only
2025-03-20 09:15:00+05:30,1,,left_only
2025-03-20 13:45:00+05:30,1,,left_only
2025-03-21 10:15:00+05:30,1,,left_only
2025-03-24 09:15:00+05:30,1,,left_only
2025-03-25 09:30:00+05:30,1,,left_only
2025-03-25 15:15:00+05:30,-1,,left_only
2025-03-26 11:45:00+05:30,-1,,left_only
2025-03-27 09:45:00+05:30,1,,left_only
2025-03-28 09:45:00+05:30,1,,left_only
2025-03-28 12:15:00+05:30,-1,,left_only
2025-04-01 09:15:00+05:30,-1,,left_only
2025-04-01 11:30:00+05:30,-1,,left_only
2025-04-02 09:15:00+05:30,1,,left_only
2025-04-02 11:00:00+05:30,1,,left_only
2025-04-03 10:15:00+05:30,1,,left_only
2025-04-03 13:30:00+05:30,1,,left_only
2025-04-04 13:30:00+05:30,-1,,left_only
2025-04-07 09:15:00+05:30,-1,,left_only
2025-04-07 12:00:00+05:30,-1,,left_only
2025-04-07 15:00:00+05:30,1,,left_only
2025-04-08 12:30:00+05:30,1,,left_only
2025-04-09 09:45:00+05:30,-1,,left_only
2025-04-11 09:15:00+05:30,1,,left_only
2025-04-11 14:00:00+05:30,-1,,left_only
2025-04-15 09:15:00+05:30,1,,left_only
2025-04-16 09:15:00+05:30,1,,left_only
2025-04-16 13:45:00+05:30,1,,left_only
2025-04-17 09:30:00+05:30,1,,left_only
2025-04-17 11:15:00+05:30,1,,left_only
2025-04-17 13:00:00+05:30,1,,left_only
2025-04-21 09:15:00+05:30,1,,left_only
2025-04-22 09:30:00+05:30,1,,left_only
2025-04-22 15:15:00+05:30,-1,,left_only
2025-04-23 10:30:00+05:30,-1,,left_only
2025-04-24 15:00:00+05:30,-1,,left_only
2025-04-25 10:45:00+05:30,-1,,left_only
2025-04-25 13:30:00+05:30,1,,left_only
2025-04-28 09:15:00+05:30,1,,left_only
2025-04-28 12:15:00+05:30,1,,left_only
2025-04-29 09:15:00+05:30,1,,left_only
2025-04-29 15:15:00+05:30,-1,,left_only
2025-05-02 09:15:00+05:30,1,,left_only
2025-05-02 11:15:00+05:30,-1,,left_only
2025-05-02 14:15:00+05:30,-1,,left_only
2025-05-06 09:15:00+05:30,-1,,left_only
2025-05-06 11:30:00+05:30,-1,,left_only
2025-05-06 14:45:00+05:30,-1,,left_only
2025-05-07 09:15:00+05:30,1,,left_only
2025-05-07 15:00:00+05:30,1,,left_only
2025-05-08 10:15:00+05:30,1,,left_only
2025-05-08 13:30:00+05:30,-1,,left_only
2025-05-08 15:15:00+05:30,-1,,left_only
2025-05-09 13:15:00+05:30,-1,,left_only
2025-05-12 09:45:00+05:30,1,,left_only
2025-05-12 15:15:00+05:30,1,,left_only
2025-05-14 11:45:00+05:30,-1,,left_only
2025-05-15 10:30:00+05:30,1,,left_only
2025-05-15 13:00:00+05:30,1,,left_only
2025-05-19 10:15:00+05:30,1,,left_only
2025-05-19 14:00:00+05:30,-1,,left_only
2025-05-20 09:30:00+05:30,-1,,left_only
2025-05-20 11:30:00+05:30,-1,,left_only
2025-05-20 14:15:00+05:30,-1,,left_only
2025-05-21 11:45:00+05:30,-1,,left_only
2025-05-22 11:30:00+05:30,-1,,left_only
2025-05-22 14:45:00+05:30,1,,left_only
2025-05-23 10:45:00+05:30,1,,left_only
2025-05-27 09:30:00+05:30,-1,,left_only
2025-05-27 13:45:00+05:30,-1,,left_only
2025-05-28 09:15:00+05:30,-1,,left_only
2025-05-29 10:00:00+05:30,-1,,left_only
2025-06-03 15:15:00+05:30,-1,,left_only
2025-06-09 14:00:00+05:30,-1,,left_only
2025-06-10 09:30:00+05:30,-1,,left_only
2025-06-10 15:15:00+05:30,-1,,left_only
2025-06-11 13:45:00+05:30,-1,,left_only
2025-06-12 13:15:00+05:30,-1,,left_only
2025-06-12 15:15:00+05:30,-1,,left_only
2025-06-13 11:00:00+05:30,-1,,left_only
2025-06-13 13:30:00+05:30,1,,left_only
2025-06-13 14:45:00+05:30,-1,,left_only
2025-06-16 10:15:00+05:30,1,,left_only
2025-06-16 12:30:00+05:30,1,,left_only
2025-06-19 09:15:00+05:30,1,,left_only
2025-06-20 09:15:00+05:30,1,,left_only
2025-06-20 11:00:00+05:30,1,,left_only
2025-06-24 11:15:00+05:30,1,,left_only
2025-06-24 13:30:00+05:30,-1,,left_only
2025-06-25 09:30:00+05:30,1,,left_only
2025-06-26 11:45:00+05:30,1,,left_only
2025-06-26 14:00:00+05:30,1,,left_only
2025-07-04 13:45:00+05:30,1,,left_only
2025-07-07 10:45:00+05:30,1,,left_only
2025-07-10 13:30:00+05:30,-1,,left_only
2025-07-11 10:00:00+05:30,-1,,left_only
2025-07-17 09:15:00+05:30,-1,,left_only
2025-07-18 15:15:00+05:30,-1,,left_only
2025-07-21 09:30:00+05:30,1,,left_only
2025-07-24 14:00:00+05:30,1,,left_only
2025-07-25 10:30:00+05:30,-1,,left_only
2025-07-25 12:15:00+05:30,-1,,left_only
2025-07-29 10:15:00+05:30,-1,,left_only
2025-07-29 13:00:00+05:30,1,,left_only
2025-07-30 09:15:00+05:30,-1,,left_only
2025-08-07 09:30:00+05:30,-1,,left_only
2025-08-08 13:15:00+05:30,-1,,left_only
