time,direction,price,match_entry_time,match_entry_price,time_diff_minutes,status,entry_time,exit_time,entry_price,exit_price,pnl_pct,bars_held,exit_reason,max_favorable_pct,max_adverse_pct,dir_num,sys_entry_price,sys_exit_price,sys_pnl_pct,tv_entry_price,tv_exit_price,tv_pnl_pct,pnl_diff_pct
2025-06-02 09:15:00+05:30,SHORT,55785.4,2025-06-03 12:45:00+05:30,55926.13333333333,1650.0,late,2025-06-03 12:45:00+05:30,2025-06-03 13:45:00+05:30,55926.13333333333,55956.0,-0.0534037754562004,4,4_bars,0.0832049894384489,0.0534037754562004,-1,55926.13333333333,55956.0,-0.05340377545620046,55785.4,55956.0,-0.3058147830794411,-0.25241100762324065
2025-06-02 12:30:00+05:30,LONG,56098.2,2025-06-05 12:00:00+05:30,56136.333333333336,4290.0,late,2025-06-05 12:00:00+05:30,2025-06-05 13:00:00+05:30,56136.333333333336,56046.2,-0.1605614901816506,4,4_bars,0.0,0.1605614901816506,1,56136.333333333336,56046.2,-0.1605614901816506,56098.2,56046.2,-0.09269459626155564,0.06786689392009497
2025-06-03 09:15:00+05:30,LONG,56118.0,2025-06-05 12:00:00+05:30,56136.333333333336,3045.0,late,2025-06-05 12:00:00+05:30,2025-06-05 13:00:00+05:30,56136.333333333336,56046.2,-0.1605614901816506,4,4_bars,0.0,0.1605614901816506,1,56136.333333333336,56046.2,-0.1605614901816506,56118.0,56046.2,-0.1279446879789068,0.03261680220274382
2025-06-04 14:45:00+05:30,LONG,56030.4,2025-06-05 12:00:00+05:30,56136.333333333336,1275.0,late,2025-06-05 12:00:00+05:30,2025-06-05 13:00:00+05:30,56136.333333333336,56046.2,-0.1605614901816506,4,4_bars,0.0,0.1605614901816506,1,56136.333333333336,56046.2,-0.1605614901816506,56030.4,56046.2,0.02819897769781339,0.188760467879464
2025-06-06 09:30:00+05:30,SHORT,55858.6,2025-06-03 12:45:00+05:30,55926.13333333333,-4125.0,early,2025-06-03 12:45:00+05:30,2025-06-03 13:45:00+05:30,55926.13333333333,55956.0,-0.0534037754562004,4,4_bars,0.0832049894384489,0.0534037754562004,-1,55926.13333333333,55956.0,-0.05340377545620046,55858.6,55956.0,-0.17436885278184822,-0.12096507732564776
2025-06-13 09:15:00+05:30,SHORT,55685.0,2025-06-13 11:00:00+05:30,55602.93333333333,105.0,late,2025-06-13 11:00:00+05:30,2025-06-13 12:00:00+05:30,55602.93333333333,55626.0,-0.0414846219144427,4,4_bars,0.0,0.1152217389010765,-1,55602.93333333333,55626.0,-0.041484621914442715,55685.0,55626.0,0.10595312920894318,0.1474377511233859
2025-06-16 11:00:00+05:30,LONG,55895.6,2025-06-16 10:15:00+05:30,55699.93333333333,-45.0,early,2025-06-16 10:15:00+05:30,2025-06-16 11:15:00+05:30,55699.93333333333,55830.0,0.2335131460360927,4,4_bars,0.3512870751491113,0.0,1,55699.93333333333,55830.0,0.23351314603609277,55895.6,55830.0,-0.11736165279556629,-0.35087479883165906
2025-06-18 11:30:00+05:30,SHORT,55840.0,2025-06-19 12:30:00+05:30,55686.73333333334,1500.0,late,2025-06-19 12:30:00+05:30,2025-06-19 13:30:00+05:30,55686.73333333334,55685.4,0.0023943464691214,4,4_bars,0.0023943464691214,0.0694360476043921,-1,55686.73333333334,55685.4,0.002394346469121476,55840.0,55685.4,0.27686246418337845,0.274468117714257
2025-06-20 09:30:00+05:30,LONG,55833.0,2025-06-19 09:15:00+05:30,55901.13333333333,-1455.0,early,2025-06-19 09:15:00+05:30,2025-06-19 10:15:00+05:30,55901.13333333333,55874.8,-0.0471069757679244,4,4_bars,0.1321380484832184,0.0471069757679244,1,55901.13333333333,55874.8,-0.04710697576792447,55833.0,55874.8,0.07486611860369838,0.12197309437162285
2025-07-08 09:15:00+05:30,LONG,57299.0,2025-07-08 15:00:00+05:30,57444.0,345.0,late,2025-07-08 15:00:00+05:30,2025-07-09 09:45:00+05:30,57444.0,57366.0,-0.1357844161270106,4,4_bars,0.0020889910173335,0.2764431446278165,1,57444.0,57366.0,-0.13578441612701067,57299.0,57366.0,0.11693048744306184,0.25271490357007254
