timestamp,open,high,low,close,prediction,signal_raw,start_long,start_short,end_long,end_short,filter_all,vol_filter,reg_filter,adx_filter,recent_atr,historical_atr,kernel_estimate,kernel_bullish,kernel_bearish,price_minus_kernel
2025-03-04 10:30:00+05:30,48514.95,48579.95,48467.1,48470.0,0.0,0,False,False,False,False,False,False,True,False,,,,False,False,
2025-03-04 10:45:00+05:30,48469.95,48516.0,48446.65,48490.0,0.0,0,False,False,False,False,False,False,True,False,91.09999999999854,,,False,False,
2025-03-04 11:00:00+05:30,48497.65,48560.0,48482.25,48490.0,0.0,0,False,False,False,False,False,False,True,False,77.75,,,False,False,
2025-03-04 11:15:00+05:30,48490.0,48515.8,48455.55,48480.0,0.0,0,False,False,False,False,False,False,True,False,60.25,,,False,False,
2025-03-04 11:30:00+05:30,48480.0,48504.0,48402.1,48410.45,0.0,0,False,False,False,False,False,False,True,False,101.90000000000146,,,False,False,
2025-03-04 11:45:00+05:30,48410.05,48432.0,48352.05,48430.0,0.0,0,False,False,False,False,False,False,True,False,79.94999999999709,,,False,False,
2025-03-04 12:00:00+05:30,48432.0,48444.0,48374.05,48374.05,0.0,0,False,False,False,False,False,False,True,False,69.94999999999709,,,False,False,
2025-03-04 12:15:00+05:30,48379.25,48456.45,48355.15,48448.45,0.0,0,False,False,False,False,False,False,False,False,101.29999999999563,,,False,False,
2025-03-04 12:30:00+05:30,48442.4,48490.0,48442.4,48450.0,0.0,0,False,False,False,False,False,False,False,False,47.599999999998545,,,False,False,
2025-03-04 12:45:00+05:30,48451.05,48466.0,48427.05,48432.5,0.0,0,False,False,False,False,False,False,True,False,38.94999999999709,,,False,False,
2025-03-04 13:00:00+05:30,48434.4,48465.0,48379.8,48464.95,0.0,0,False,False,False,False,True,True,True,False,85.19999999999709,76.82272727272556,,False,False,
2025-03-04 13:15:00+05:30,48464.95,48485.0,48441.15,48460.2,0.0,0,False,False,False,False,False,False,True,False,43.849999999998545,73.52545454545286,,False,False,
